"Existing
PO Number",PO Description (optional),Buyer ,Vendor Name,VENDOR_SITE_CODE,Ship to,Bill To,PO Currency,PAYMENT TERMS,Freight Terms/ Incoterms,"Carrier
Freight Payment Terms","FOB 
Destination / Origin",Note To Receiver (optional),Note to Supplier (optional),Line#,LINE_TYPE,ITEM,ITEM REVISION,"Category
(see note#1)","Line Description 
(see note# 1)",UOM,UNIT PRICE,Supplier item (optional),SHIPMENT#,open quantity,NEED BY DATE,PROMISED_DATE,RECEIPT REQUIRED? ,TAX_CODE,"Charge Account
(see note#1)",Vendor Site ID,Consigned (Yes/No),Plant Code,PR#,PR Item,Requestor,PR Text,Cost Center Code,Cost Center,Asset NO,APL Stauts,Vendor ID, Internal Order#
4600112923,,Xiaodong Zhuang,Fuzhou Quanhuitai Trading Firm,,"253 Fuxin East Road, Fuzhou Fujian 350014, China","56 Fuxing Road, Jinan District Fuzhou, Fujian 350014, China",CNY,Z090,DEW,,Discharge to buyer's warehouse,,,20,Z1 No material PO,,,302706,"荣耀X60i直边液态软壳,需要原图定制",EA,27.5000,,,24.000,23-12-2024,23-12-2024,,13 %,5101100,,No,2000,0020080579,10,持续改进部+吕舒,,0020000122,continuous improve,,,0008101944,
4700013078,,Xiaodong Zhuang,Fuzhou Rongda Hangyu Mechanicaland Electrical Engineering Co. LTD,,"253 Fuxin East Road, Fuzhou Fujian 350014, China","56 Fuxing Road, Jinan District Fuzhou, Fujian 350014, China",CNY,P003,,,,,,10,Z2 Fixed Asset PO,,,290201,CEO办公室改造工程 OPTICS-D1-2024030,EA,311977.9800,,,1.000,26-12-2024,26-12-2024,,9 %,1200001,,No,2000,0030011392,10,行政+陈怡,,,,71000191,,0008103647,P25Q207
4700013103,,Xiaodong Zhuang,"ET EXPO Design International Co.,Limited",,"253 Fuxin East Road, Fuzhou Fujian 350014, China","56 Fuxing Road, Jinan District Fuzhou, Fujian 350014, China",CNY,P003,,,,,,10,Z2 Fixed Asset PO,,,290201,D1 一层展厅更新 OCG-D-2024014,EA,300000.0000,,,1.000,30-12-2024,30-12-2024,,6 %,1200001,,No,1000,0030011415,10,行政+陈怡,,,,71000092,,0008103602,C25Q202
4700013146,,Xiaoping Huang,"Shenzhen Sugimoto Trading Co.,Ltd",,"253 Fuxin East Road, Fuzhou Fujian 350014, China","56 Fuxing Road, Jinan District Fuzhou, Fujian 350014, China",CNY,S090,DEW,,Discharge to buyer's warehouse,,,10,Z2 Fixed Asset PO,,,290101,数显测微头 MHN4-25MX,EA,2212.3900,,,20.000,19-12-2024,19-12-2024,,13 %,1200002,,No,2000,0030011385,270,NPI+韦婷莹（江演组装,,,,72000198,,0008103546,P25Q205
4600111904,,Sharen.Li,Shenzhen HuaHong Precision Technology Co.，LTD,,"No. 2 Fenghuang Rd, Futian bonded area,Futian, Shenzhen, Guangdong, P.R.C.","No. 2 Fenghuang Rd, Futian bonded area,Futian, Shenzhen, Guangdong, P.R.C.",CNY,Z090,DEW,,Discharge to buyer's warehouse,,,10,Z1 No material PO,,,527,密封罐 1467600_V01-先做1套,SET,3632.8100,,,3.000,05-12-2024,05-12-2024,,13 %,5101100,,No,5210,0020077175,20,Jack Wang,,0052100211,SZ NPI,,,0008104703,RS202407-1
4600111911,,Ealon Yu,"Zhexuan Technology(Dongguan)Co.,Ltd",,"No. 2 Fenghuang Rd, Futian bonded area,Futian, Shenzhen, Guangdong, P.R.C.","No. 2 Fenghuang Rd, Futian bonded area,Futian, Shenzhen, Guangdong, P.R.C.",CNY,Z060,,,,,,10,Z1 No material PO,,,527,导光管 滨松 A10014-50-0110,EA,15732.0000,,,5.000,30-12-2024,30-12-2024,,1 %,5101100,,No,5210,0020079803,10,Shengxiong,,0052100204,Shenzhen EQUIPMENT,,,0008104649,
4600112033,,Xiaodong Zhuang,Fuzhou Quanhuitai Trading Firm,,"253 Fuxin East Road, Fuzhou Fujian 350014, China","56 Fuxing Road, Jinan District Fuzhou, Fujian 350014, China",CNY,Z090,DEW,,Discharge to buyer's warehouse,,,40,Z1 No material PO,,,200101,Mr.Clean 厨房洗洁精 柠檬香 1.3L/Mr.Clean Kitchen,BOT,186.8400,,,20.000,20-12-2024,20-12-2024,,13 %,5101100,,No,2000,0020079956,20,YAG+陈世教,,0020000124,YAG,,,0008101944,
4600112094,,Ealon Yu,"RS Components (ShangHai) Co., Ltd.",,"No. 2 Fenghuang Rd, Futian bonded area,Futian, Shenzhen, Guangdong, P.R.C.","No. 2 Fenghuang Rd, Futian bonded area,Futian, Shenzhen, Guangdong, P.R.C.",CNY,Z060,DEW,,Discharge to buyer's warehouse,,,30,Z1 No material PO,,,527,超六类屏蔽网线 RS 256-6980,EA,319.4300,,,4.000,05-12-2024,05-12-2024,,13 %,5101100,,No,5210,0020079946,20,Weiwei Fu,,0052100102,Shenzhen 980 PUMP,,,0008100148,
4600112099,,Sharen.Li,"Shenzhen Haowang Technology Co., Ltd",,"No. 2 Fenghuang Rd, Futian bonded area,Futian, Shenzhen, Guangdong, P.R.C.","No. 2 Fenghuang Rd, Futian bonded area,Futian, Shenzhen, Guangdong, P.R.C.",CNY,Z060,,,,,,10,Z1 No material PO,,,522,封箱胶带-黄色-（胶带宽度5 cm）-每月第四周送货225卷,EA,5.8000,,,900.000,30-01-2025,30-01-2025,,3 %,5101100,,No,5210,0020079655,10,fei.huang,,0052100202,Shenzhen WAREHOUSE,,,0008104282,
4600112145,,Yangbin Wang,"Weigu Technology (Wuhan) Co., LTD",,"253 Fuxin East Road, Fuzhou Fujian 350014, China","56 Fuxing Road, Jinan District Fuzhou, Fujian 350014, China",CNY,N090,DEW,,Discharge to buyer's warehouse,,,10,Z1 No material PO,,,100304,"1x2 光开关980nm, HI1060 Fiber",EA,1500.0000,,,10.000,30-11-2024,30-11-2024,,13 %,5101100,,No,1000,0020079969,40,WDM+任利波,,0010000114,Product Line - WDM,,,0008104142,
